T2_panel0,T_panel0,T2_panel1,T_panel1,T2_panel2,T_panel2,dT2_panel0,dT_panel0,dT2_panel1,dT_panel1,dT2_panel2,dT_panel2,T2_ld0,T_ld0,T2_ld1,T_ld1,T2_ld2,T_ld2
-.000048499744,-.0066031939,-.00072855892,.013077085,.00024300578,.0041652834,-.00013917679,.0085137943,6.4285809e-06,.001901769,-.00026954463,-.0026600535,-.0015516256,.05706612,-.0036110885,.14585511,.0013094289,.066398591
-.000096900316,-.0029598007,-.00091513788,.018890606,.00028103654,.0015591957,-.000051365769,.0014729877,.00065101834,-.0085434467,-.00029571529,-.0011887333,-.0021703548,.040868983,-.0081696222,.22908132,.0031003344,.032160662
-.000098252953,-.0031856874,-.00099999167,.021541305,.0003297638,.0029077325,-7.5111475e-06,.0012408604,.00014377983,-.0028961715,-.00035911659,-.0010613921,-.0018088204,-.014266509,-.0067888279,.27428702,.0011180914,.024533752
-.000013163524,-.0071755056,-.00068395975,.014702569,.00014859019,.0074246847,-.00008368952,.0066078249,.00028389122,-.0030625977,-.00017975958,-.003536233,-.0017154826,.02132652,-.0013436301,.13683593,-.0010500202,.057218701
.00022016585,-.015243206,-.001718685,.031876821,.00029329417,.00087231613,-.00025926493,.0092812954,.0015923028,-.02410865,-.00029685016,.00085638178,.0015716251,-.11360895,-.0072262227,.2631025,.0012361003,.066384092
-.00019564167,-.0015563195,-.00071196369,.013176844,.0002564044,-.0046286499,.00021540896,-.0019323572,.00022280218,-.0013565888,-.00020142421,-.0016937874,-.0051897643,.13761924,-.0049060364,.16451746,.0012854523,.039597396
-.00010039093,-.0019531576,-.00042918307,.0076295501,.00024417535,.0025193342,.00019800487,-.0010057205,-.000073754447,.0023929854,-.00036373557,-.0021807081,-.0055625411,.11382858,.000067312147,.079763405,-.00027178059,.088937826
-.00036228876,.0027205213,.000051678544,.000073586649,.00022425853,-.0034883858,.000093797993,-.00058323925,-.00038239395,.0084313629,-.00035958181,.0029983283,-.0036732818,.079200029,.00023089409,.0078133689,.0048644957,-.094798408
.000063991611,-.012566233,-.00040597533,.010205215,.000021496553,.00035017746,.00010597212,.0012244051,-.000089740824,.0019933872,-.00010881431,-.0019386791,-.0028706251,.016999913,-.0038753229,.072955683,.00025942491,.033076577
-.00036784736,.0081312452,-.0012991397,.022778263,.00060002937,-.0024131383,.000055358814,-.0012594932,.00047611803,-.0060580173,-.00052467856,.0015159798,-.0062706796,.21301775,-.010542848,.34058279,.00011706066,.12049035
-.00025597218,.0055590714,-.00077817502,.013692231,.00043321954,-.00093324855,.00012040143,-.0045725056,.00073637103,-.0081514046,-.00053105108,.0039345212,-.0016197319,.055224072,-.0040794238,.16993874,.0025148222,.042593427
-.00025967933,.0022820411,-.00043977718,.0096011413,.000087321183,.0011192394,.00017240024,-.0031825765,-.00014902523,.0038610708,-.000086991327,-.0013123808,-.0031817658,.10839199,-.0027142593,.12951486,.0024730081,.022880247
-.00085143396,.017819747,-.00041473313,.0048354957,.00035759519,-.00090820645,.00041900904,-.0095078079,.00014489473,.0021372314,-.00045472314,.0028468599,-.0030923872,.065950021,-.0063338769,.19039197,.0012362271,.044150174
-.00023559583,.0019559709,-.00062433042,.01282036,.00022094721,.0033171831,.000099501216,.0012493057,-.000037029713,.0016144731,-.00025207963,-.0043395604,-.0046900231,.10935124,-.0059838081,.20448771,.00067434058,.089484766
-.00012480207,-.0039876807,-.00056014978,.011279074,.00015690258,.0011846523,.000027434589,.0034318056,-.000040458192,.0012534696,-.00029213278,.0013232122,-.0031103846,.0086837243,-.0040501202,.14251128,.001064053,.007858959
-.00027108745,.0070310086,-.0010559279,.019209012,.000088776244,.0010596206,.00006483202,-.0014183557,.00033370839,-.0037834258,-.00025107624,-.0010057058,-.0056672455,.21576183,-.010277612,.32628947,.00084652455,.064507
.000075671305,-.0084666554,-.00093009922,.017880453,.00015415769,.0030487746,.000071542752,-.00065772055,.00058938068,-.0058464329,-.0003189019,.0010114716,-.0019986606,.043022029,-.0060055587,.17709886,.00025526152,.053645063
.000013500195,-.0047003441,-.00069207913,.013132473,.00018243509,.0022937569,-7.2675061e-06,.0032431532,.00024848487,-.0022191766,-.00020441723,-.0010322861,-.0018632837,.014304545,-.0018090762,.11146137,.0019973291,.036435243
.00029844011,-.013334843,-.00089760241,.014186398,.00040353226,-.0003771983,-.00029179628,.011602071,.00026781857,-.00093678426,-.0004016723,.0011449561,-.00042747703,.0065622586,-.0035859263,.11431856,.0024871514,.029317748
-.00006541246,-.0098252604,-.00065565179,.011342345,.000099690842,.00010120854,.000010723072,.0057924828,.000017189785,.0051422608,-.00016435908,-.0020342157,-.0026720362,.068855703,-.0047581852,.13201046,-.001227506,.075383969
-.0002027429,-.00043784521,-.00079963147,.013452412,.00037470867,-.0087174773,.00006680275,.00059204153,.00016536054,.0031097953,-.00037036938,.0020421257,-.0035668223,.10567674,-.0031420346,.07735642,.0024373464,-.029841367
-.00023492215,.002693075,-.00043875701,.01053827,.00035258883,-.00010300132,.00010901999,.0011305788,-.0001029876,.002906373,-.00034395925,-.00059041119,-.004059819,.1070693,-.0068956884,.22613084,.0016063043,.038576588
-.00019115614,.0011003645,-.0010651016,.019819926,.000046246529,.00063918688,.000079967809,.00022800834,.0006995619,-.0075008632,-.00024776955,.00049217552,-.0033626563,.089882076,-.0042025163,.14201467,.0019741126,.025080292
-.00026484864,.0022895539,-.0003800003,.01145853,.00029826691,.0041787182,-.000022774224,-.00077077007,-.00020302819,.003019247,-.0003452285,-.0028684349,-.0029080687,.095655695,-.0029343851,.11725981,.00012245413,.066436626
-.000045025339,-.0020127066,-.00095384795,.021462327,.00033457502,-.0005311424,.00013242288,-.0050902092,.00029950892,-.0040748003,-.00029370768,-.0011170011,-.002988159,.090351596,-.00048821865,.078419916,-.0016646761,.093469292
-.00038942322,.0078076166,-.00056544051,.014916558,.00011262012,-.0016209583,.000071550174,.00052704551,.00016406843,-.0020341037,-.00024965397,.00019795794,-.0052205841,.15800624,-.0039241849,.15969093,.0010684441,.037762366
-.00029080594,.00025765286,-.0013132187,.029073739,.00049118925,-.0082012163,.000031517706,-.0017909765,.0010616675,-.018265368,-.00058743428,.006175634,-.0045970017,.16861787,-.0096881846,.29739767,.0018988585,.0013939275
-.00026796231,-.0014224257,-.00046680594,.009117946,.00055670342,-.0054722251,.00031097035,-.004290822,2.7979813e-06,.0024352069,-.00050977746,.0026429722,-.0049846773,.067147538,-.003665389,.08518932,.0021972721,-.021514134
-.00052242796,.012306995,-.00027341052,.011330806,.00054090429,-.010436118,.00011678409,-.0046178279,-.000028389279,.0001178785,-.00053057924,.0070283804,-.0016022425,.11225758,-.00058127078,.074145913,.0032144799,-.02797541
-.00038816637,.004210236,-.0009745998,.020710858,.00026827282,.0023701247,.00021452774,-.0029240532,.00044259347,-.0049651889,-.00039639985,.0019588075,-.0049406253,.13470902,-.0002365437,.043709323,.0007331376,.074307747
.000049729679,-.011083076,-.0011124432,.023249879,.000099489953,.0043142065,-.000082329963,.0094569074,.00066477479,-.0093115261,-.00018783018,-.0016006575,-.0021862567,.039113384,-.0014164663,.055205826,.00071522518,.072518282
.000018188144,-.014702348,-.00083331915,.022478873,.00042682071,.0019792232,-.000058755457,.0087120803,.00087669207,-.014069798,-.00047607571,.0014364275,-.0010784601,-.003238043,-.0039667827,.16871534,.0015298711,.046099067
.00041418377,-.015330847,-.00053125119,.012266637,.0000560761,-.0012479094,-.00029754787,.006573258,-.000098821765,.0013682039,-.00018683093,-.0024696905,-.0013829938,.058870055,-.0014145811,.14309871,.00065453601,.090915613
.000019539129,-.0067641949,-.0010347953,.021091003,.00046088631,-.0024095008,.000018019287,-.002805107,.00059259735,-.0098955445,-.00039496218,.0022165428,-.002140248,.026719991,-.0025886109,.12983489,.0026985712,.012374506
-.00021184678,.001638376,-.00061563763,.010584376,.00034649679,-.00059195666,.00023063923,-.0060962453,.00023455609,-.00019196779,-.00039621338,.003192499,-.0044750245,.1173117,-.0038445138,.16034392,.0034029395,-.03378072
.00010522755,-.0078436136,-.00086585269,.0183037,.00046201682,-.010228409,-.000057529225,.0028233915,.00044769296,-.006713409,-.00043430922,.0017432026,-.00033924414,.011747654,-.0019917577,.069950178,.0032315052,-.015747767
-.00014547113,-.0026286177,-.00044809835,.010264273,.00041486038,-.0067509376,-.000018587078,.0039117909,-.000099884754,.0043745684,-.0004249441,.0029193382,-.0011093861,.062381178,-.0047401036,.12369698,.00024194481,.030713148
-.00004128645,-.0087609012,-.00055260427,.0083809784,.00029443481,-.005615246,-.0002341925,.013979646,.000093790033,.0045421198,-.0003445996,.0036775416,.00032863099,-.04452531,-.0012451595,.070403561,.0021237675,.010535105
-.000050953771,.00057722285,-.00042478504,.0056863925,.00051251426,-.006141481,-2.8335819e-06,-.00012270735,-.00015549247,.0065210899,-.00054453505,.0044124071,-.0039717047,.10555688,-.0033150769,.16489552,.0023931465,.025685923
-.00022403197,.0027539022,-.00058281299,.0092893727,.00037923272,-.0020617831,.000036430465,.001728826,.00031448907,.0013727639,-.00050080201,.0054382784,-.00020950231,.0031952506,-.0015019642,.11670638,.0029329543,-.024257047
