T2_panel0,T_panel0,T2_panel1,T_panel1,T2_panel2,T_panel2,dT2_panel0,dT_panel0,dT2_panel1,dT_panel1,dT2_panel2,dT_panel2,T2_d0,T_d0,T2_d1,T_d1,T2_d2,T_d2
-.00028617567,.0057077021,-.00055350468,.010771723,.000027898966,.0080984822,.00052122946,-.014716588,.00015151096,.0021071124,-.00020502247,-.0019701154,.0026059861,-.089586414,.0085945819,-.21564673,.00081053999,.085086986
-.00084674882,.026151702,-.00039066869,.0080765625,.00023370926,.0073329704,.00060482253,-.023110708,-.00001181388,.0021325203,-.00027930364,-.0046595098,.0066953572,-.22248435,.0070218327,-.18197912,.0043166513,.045770541
-.00042291681,.015307995,-.00086761679,.017300071,.00018602143,.0036063071,.00042390492,-.015881486,.00080268731,-.0092513021,-.00022285654,.00047507166,-.0018883373,.20836507,.0001662032,.040545419,-.0012023026,.12449509
-.00055399013,.0076988698,-.00026945909,.002377525,.00044895173,-.0014358287,.00021209955,-.002326576,-2.3703292e-06,.0065699425,-.00045932611,.0030379361,-.0088159442,.22621468,.00064611714,-.018893195,-.0051214979,.12621611
-.000154383,.0011505629,-.00053253275,.0064430814,.00021552194,.0038489541,.00016981713,-.0066294158,.00033413796,.00084487791,-.00022197893,-.0031509695,.0010704485,-.025373086,.0031946267,-.093736812,.0019654091,.058583595
-.00014589822,.0047090608,-.00080075674,.017913045,.00045960804,.0049676825,.00015926015,-.012039701,.0004316651,-.0051725041,-.00045090567,.00081034435,-.0066825203,.35385484,-.0030799252,.020924451,.0030604647,.044002723
-.00054821279,.012610848,-.00068039814,.018715473,.00042021394,.00075865968,.00024344309,-.0094123408,-.00021626658,.00034377331,-.00034071144,.00087894709,.0058831484,-.22799799,8.7016351e-06,.050956085,.0046337619,.034691717
-.00031155409,.010392938,-.00081452151,.013457888,.00020680924,.0039540725,.00067532895,-.02380776,-.00022783555,.0084816925,-.00018097766,-.0058090049,.000092148599,-.0056428723,-.0082101496,.13426922,.00093845587,-.0074914959
-.00068701169,.018089792,-.00072543736,.016986651,.000019555018,.0014040708,.00060602318,-.020527374,.00071443332,-.006639028,-.00009671304,.00040546403,.00030289404,.055068847,.005610798,-.031440426,.0019739934,.069332682
-.00045216203,.0076011135,-.00085085398,.013280216,.000352731,.0044602687,.00065305224,-.01895486,.00035482619,-.00090663444,-.00035794961,-.00067503279,-.008094742,.1868165,-.013506463,.19637637,-.0011189454,.059624381
